input_sequence,target_word
"b,_,_,_,_,_,_,_,_,_",bantuan
"b,a,_,_,_,_,_,_,_,_",bantuan
"b,a,n,_,_,_,_,_,_,_",bantuan
"b,a,n,t,_,_,_,_,_,_",bantuan
"b,a,n,t,u,_,_,_,_,_",bantuan
"b,a,n,t,u,a,_,_,_,_",bantuan
"b,a,n,t,u,a,n,_,_,_",bantuan
"c,_,_,_,_,_,_,_,_,_",cinta
"c,i,_,_,_,_,_,_,_,_",cinta
"c,i,n,_,_,_,_,_,_,_",cinta
"c,i,n,t,_,_,_,_,_,_",cinta
"c,i,n,t,a,_,_,_,_,_",cinta
"c,_,_,_,_,_,_,_,_,_",cantik
"c,a,_,_,_,_,_,_,_,_",cantik
"c,a,n,_,_,_,_,_,_,_",cantik
"c,a,n,t,_,_,_,_,_,_",cantik
"c,a,n,t,i,_,_,_,_,_",cantik
"c,a,n,t,i,k,_,_,_,_",cantik
"c,_,_,_,_,_,_,_,_,_",coba
"c,o,_,_,_,_,_,_,_,_",coba
"c,o,b,_,_,_,_,_,_,_",coba
"c,o,b,a,_,_,_,_,_,_",coba
"c,_,_,_,_,_,_,_,_,_",cerita
"c,e,_,_,_,_,_,_,_,_",cerita
"c,e,r,_,_,_,_,_,_,_",cerita
"c,e,r,i,_,_,_,_,_,_",cerita
"c,e,r,i,t,_,_,_,_,_",cerita
"c,e,r,i,t,a,_,_,_,_",cerita
"c,_,_,_,_,_,_,_,_,_",cari
"c,a,_,_,_,_,_,_,_,_",cari
"c,a,r,_,_,_,_,_,_,_",cari
"c,a,r,i,_,_,_,_,_,_",cari
"c,_,_,_,_,_,_,_,_,_",cahaya
"c,a,_,_,_,_,_,_,_,_",cahaya
"c,a,h,_,_,_,_,_,_,_",cahaya
"c,a,h,a,_,_,_,_,_,_",cahaya
"c,a,h,a,y,_,_,_,_,_",cahaya
"c,a,h,a,y,a,_,_,_,_",cahaya
"c,_,_,_,_,_,_,_,_,_",cepat
"c,e,_,_,_,_,_,_,_,_",cepat
"c,e,p,_,_,_,_,_,_,_",cepat
"c,e,p,a,_,_,_,_,_,_",cepat
"c,e,p,a,t,_,_,_,_,_",cepat
"c,_,_,_,_,_,_,_,_,_",cuaca
"c,u,_,_,_,_,_,_,_,_",cuaca
"c,u,a,_,_,_,_,_,_,_",cuaca
"c,u,a,c,_,_,_,_,_,_",cuaca
"c,u,a,c,a,_,_,_,_,_",cuaca
"c,_,_,_,_,_,_,_,_,_",cukup
"c,u,_,_,_,_,_,_,_,_",cukup
"c,u,k,_,_,_,_,_,_,_",cukup
"c,u,k,u,_,_,_,_,_,_",cukup
"c,u,k,u,p,_,_,_,_,_",cukup
"c,_,_,_,_,_,_,_,_,_",ceria
"c,e,_,_,_,_,_,_,_,_",ceria
"c,e,r,_,_,_,_,_,_,_",ceria
"c,e,r,i,_,_,_,_,_,_",ceria
"c,e,r,i,a,_,_,_,_,_",ceria
"d,_,_,_,_,_,_,_,_,_",dia
"d,i,_,_,_,_,_,_,_,_",dia
"d,i,a,_,_,_,_,_,_,_",dia
"d,_,_,_,_,_,_,_,_,_",dengan
"d,e,_,_,_,_,_,_,_,_",dengan
"d,e,n,_,_,_,_,_,_,_",dengan
"d,e,n,g,_,_,_,_,_,_",dengan
"d,e,n,g,a,_,_,_,_,_",dengan
"d,e,n,g,a,n,_,_,_,_",dengan
"d,_,_,_,_,_,_,_,_,_",dan
"d,a,_,_,_,_,_,_,_,_",dan
"d,a,n,_,_,_,_,_,_,_",dan
"d,_,_,_,_,_,_,_,_,_",dari
"d,a,_,_,_,_,_,_,_,_",dari
"d,a,r,_,_,_,_,_,_,_",dari
"d,a,r,i,_,_,_,_,_,_",dari
"d,_,_,_,_,_,_,_,_,_",dalam
"d,a,_,_,_,_,_,_,_,_",dalam
"d,a,l,_,_,_,_,_,_,_",dalam
"d,a,l,a,_,_,_,_,_,_",dalam
"d,a,l,a,m,_,_,_,_,_",dalam
"d,_,_,_,_,_,_,_,_,_",dapat
"d,a,_,_,_,_,_,_,_,_",dapat
"d,a,p,_,_,_,_,_,_,_",dapat
"d,a,p,a,_,_,_,_,_,_",dapat
"d,a,p,a,t,_,_,_,_,_",dapat
"d,_,_,_,_,_,_,_,_,_",datang
"d,a,_,_,_,_,_,_,_,_",datang
"d,a,t,_,_,_,_,_,_,_",datang
"d,a,t,a,_,_,_,_,_,_",datang
"d,a,t,a,n,_,_,_,_,_",datang
"d,a,t,a,n,g,_,_,_,_",datang
"d,_,_,_,_,_,_,_,_,_",duduk
"d,u,_,_,_,_,_,_,_,_",duduk
"d,u,d,_,_,_,_,_,_,_",duduk
"d,u,d,u,_,_,_,_,_,_",duduk
"d,u,d,u,k,_,_,_,_,_",duduk
"d,_,_,_,_,_,_,_,_,_",doa
"d,o,_,_,_,_,_,_,_,_",doa
"d,o,a,_,_,_,_,_,_,_",doa
"d,_,_,_,_,_,_,_,_,_",damai
"d,a,_,_,_,_,_,_,_,_",damai
"d,a,m,_,_,_,_,_,_,_",damai
"d,a,m,a,_,_,_,_,_,_",damai
"d,a,m,a,i,_,_,_,_,_",damai
"e,_,_,_,_,_,_,_,_,_",enak
"e,n,_,_,_,_,_,_,_,_",enak
"e,n,a,_,_,_,_,_,_,_",enak
"e,n,a,k,_,_,_,_,_,_",enak
"e,_,_,_,_,_,_,_,_,_",engkau
"e,n,_,_,_,_,_,_,_,_",engkau
"e,n,g,_,_,_,_,_,_,_",engkau
"e,n,g,k,_,_,_,_,_,_",engkau
"e,n,g,k,a,_,_,_,_,_",engkau
"e,n,g,k,a,u,_,_,_,_",engkau
"e,_,_,_,_,_,_,_,_,_",emas
"e,m,_,_,_,_,_,_,_,_",emas
"e,m,a,_,_,_,_,_,_,_",emas
"e,m,a,s,_,_,_,_,_,_",emas
"e,_,_,_,_,_,_,_,_,_",emosi
"e,m,_,_,_,_,_,_,_,_",emosi
"e,m,o,_,_,_,_,_,_,_",emosi
"e,m,o,s,_,_,_,_,_,_",emosi
"e,m,o,s,i,_,_,_,_,_",emosi
"e,_,_,_,_,_,_,_,_,_",elang
"e,l,_,_,_,_,_,_,_,_",elang
"e,l,a,_,_,_,_,_,_,_",elang
"e,l,a,n,_,_,_,_,_,_",elang
"e,l,a,n,g,_,_,_,_,_",elang
"e,_,_,_,_,_,_,_,_,_",ekonomi
"e,k,_,_,_,_,_,_,_,_",ekonomi
"e,k,o,_,_,_,_,_,_,_",ekonomi
"e,k,o,n,_,_,_,_,_,_",ekonomi
"e,k,o,n,o,_,_,_,_,_",ekonomi
"e,k,o,n,o,m,_,_,_,_",ekonomi
"e,k,o,n,o,m,i,_,_,_",ekonomi
"e,_,_,_,_,_,_,_,_,_",energi
"e,n,_,_,_,_,_,_,_,_",energi
"e,n,e,_,_,_,_,_,_,_",energi
"e,n,e,r,_,_,_,_,_,_",energi
"e,n,e,r,g,_,_,_,_,_",energi
"e,n,e,r,g,i,_,_,_,_",energi
"e,_,_,_,_,_,_,_,_,_",evaluasi
"e,v,_,_,_,_,_,_,_,_",evaluasi
"e,v,a,_,_,_,_,_,_,_",evaluasi
"e,v,a,l,_,_,_,_,_,_",evaluasi
"e,v,a,l,u,_,_,_,_,_",evaluasi
"e,v,a,l,u,a,_,_,_,_",evaluasi
"e,v,a,l,u,a,s,_,_,_",evaluasi
"e,v,a,l,u,a,s,i,_,_",evaluasi
"e,_,_,_,_,_,_,_,_,_",evolusi
"e,v,_,_,_,_,_,_,_,_",evolusi
"e,v,o,_,_,_,_,_,_,_",evolusi
"e,v,o,l,_,_,_,_,_,_",evolusi
"e,v,o,l,u,_,_,_,_,_",evolusi
"e,v,o,l,u,s,_,_,_,_",evolusi
"e,v,o,l,u,s,i,_,_,_",evolusi
"e,_,_,_,_,_,_,_,_,_",ekspor
"e,k,_,_,_,_,_,_,_,_",ekspor
"e,k,s,_,_,_,_,_,_,_",ekspor
"e,k,s,p,_,_,_,_,_,_",ekspor
"e,k,s,p,o,_,_,_,_,_",ekspor
"e,k,s,p,o,r,_,_,_,_",ekspor
"f,_,_,_,_,_,_,_,_,_",foto
"f,o,_,_,_,_,_,_,_,_",foto
"f,o,t,_,_,_,_,_,_,_",foto
"f,o,t,o,_,_,_,_,_,_",foto
"f,_,_,_,_,_,_,_,_,_",film
"f,i,_,_,_,_,_,_,_,_",film
"f,i,l,_,_,_,_,_,_,_",film
"f,i,l,m,_,_,_,_,_,_",film
"f,_,_,_,_,_,_,_,_,_",fisik
"f,i,_,_,_,_,_,_,_,_",fisik
"f,i,s,_,_,_,_,_,_,_",fisik
"f,i,s,i,_,_,_,_,_,_",fisik
"f,i,s,i,k,_,_,_,_,_",fisik
"f,_,_,_,_,_,_,_,_,_",filosofi
"f,i,_,_,_,_,_,_,_,_",filosofi
"f,i,l,_,_,_,_,_,_,_",filosofi
"f,i,l,o,_,_,_,_,_,_",filosofi
"f,i,l,o,s,_,_,_,_,_",filosofi
"f,i,l,o,s,o,_,_,_,_",filosofi
"f,i,l,o,s,o,f,_,_,_",filosofi
"f,i,l,o,s,o,f,i,_,_",filosofi
"f,_,_,_,_,_,_,_,_,_",faktor
"f,a,_,_,_,_,_,_,_,_",faktor
"f,a,k,_,_,_,_,_,_,_",faktor
"f,a,k,t,_,_,_,_,_,_",faktor
"f,a,k,t,o,_,_,_,_,_",faktor
"f,a,k,t,o,r,_,_,_,_",faktor
"f,_,_,_,_,_,_,_,_,_",fantasi
"f,a,_,_,_,_,_,_,_,_",fantasi
"f,a,n,_,_,_,_,_,_,_",fantasi
"f,a,n,t,_,_,_,_,_,_",fantasi
"f,a,n,t,a,_,_,_,_,_",fantasi
"f,a,n,t,a,s,_,_,_,_",fantasi
"f,a,n,t,a,s,i,_,_,_",fantasi
"f,_,_,_,_,_,_,_,_,_",festival
"f,e,_,_,_,_,_,_,_,_",festival
"f,e,s,_,_,_,_,_,_,_",festival
"f,e,s,t,_,_,_,_,_,_",festival
"f,e,s,t,i,_,_,_,_,_",festival
"f,e,s,t,i,v,_,_,_,_",festival
"f,e,s,t,i,v,a,_,_,_",festival
"f,e,s,t,i,v,a,l,_,_",festival
"f,_,_,_,_,_,_,_,_,_",fokus
"f,o,_,_,_,_,_,_,_,_",fokus
"f,o,k,_,_,_,_,_,_,_",fokus
"f,o,k,u,_,_,_,_,_,_",fokus
"f,o,k,u,s,_,_,_,_,_",fokus
"f,_,_,_,_,_,_,_,_,_",formal
"f,o,_,_,_,_,_,_,_,_",formal
"f,o,r,_,_,_,_,_,_,_",formal
"f,o,r,m,_,_,_,_,_,_",formal
"f,o,r,m,a,_,_,_,_,_",formal
"f,o,r,m,a,l,_,_,_,_",formal
"f,_,_,_,_,_,_,_,_,_",fragmen
"f,r,_,_,_,_,_,_,_,_",fragmen
"f,r,a,_,_,_,_,_,_,_",fragmen
"f,r,a,g,_,_,_,_,_,_",fragmen
"f,r,a,g,m,_,_,_,_,_",fragmen
"f,r,a,g,m,e,_,_,_,_",fragmen
"f,r,a,g,m,e,n,_,_,_",fragmen
"g,_,_,_,_,_,_,_,_,_",gembira
"g,e,_,_,_,_,_,_,_,_",gembira
"g,e,m,_,_,_,_,_,_,_",gembira
"g,e,m,b,_,_,_,_,_,_",gembira
"g,e,m,b,i,_,_,_,_,_",gembira
"g,e,m,b,i,r,_,_,_,_",gembira
"g,e,m,b,i,r,a,_,_,_",gembira
"g,_,_,_,_,_,_,_,_,_",guru
"g,u,_,_,_,_,_,_,_,_",guru
"g,u,r,_,_,_,_,_,_,_",guru
"g,u,r,u,_,_,_,_,_,_",guru
"g,_,_,_,_,_,_,_,_,_",gambar
"g,a,_,_,_,_,_,_,_,_",gambar
"g,a,m,_,_,_,_,_,_,_",gambar
"g,a,m,b,_,_,_,_,_,_",gambar
"g,a,m,b,a,_,_,_,_,_",gambar
"g,a,m,b,a,r,_,_,_,_",gambar
"g,_,_,_,_,_,_,_,_,_",gigi
"g,i,_,_,_,_,_,_,_,_",gigi
"g,i,g,_,_,_,_,_,_,_",gigi
"g,i,g,i,_,_,_,_,_,_",gigi
"g,_,_,_,_,_,_,_,_,_",gunung
"g,u,_,_,_,_,_,_,_,_",gunung
"g,u,n,_,_,_,_,_,_,_",gunung
"g,u,n,u,_,_,_,_,_,_",gunung
"g,u,n,u,n,_,_,_,_,_",gunung
"g,u,n,u,n,g,_,_,_,_",gunung
"g,_,_,_,_,_,_,_,_,_",garam
"g,a,_,_,_,_,_,_,_,_",garam
"g,a,r,_,_,_,_,_,_,_",garam
"g,a,r,a,_,_,_,_,_,_",garam
"g,a,r,a,m,_,_,_,_,_",garam
"g,_,_,_,_,_,_,_,_,_",gelap
"g,e,_,_,_,_,_,_,_,_",gelap
"g,e,l,_,_,_,_,_,_,_",gelap
"g,e,l,a,_,_,_,_,_,_",gelap
"g,e,l,a,p,_,_,_,_,_",gelap
"g,_,_,_,_,_,_,_,_,_",gadis
"g,a,_,_,_,_,_,_,_,_",gadis
"g,a,d,_,_,_,_,_,_,_",gadis
"g,a,d,i,_,_,_,_,_,_",gadis
"g,a,d,i,s,_,_,_,_,_",gadis
"g,_,_,_,_,_,_,_,_,_",gereja
"g,e,_,_,_,_,_,_,_,_",gereja
"g,e,r,_,_,_,_,_,_,_",gereja
"g,e,r,e,_,_,_,_,_,_",gereja
"g,e,r,e,j,_,_,_,_,_",gereja
"g,e,r,e,j,a,_,_,_,_",gereja
"g,_,_,_,_,_,_,_,_,_",garis
"g,a,_,_,_,_,_,_,_,_",garis
"g,a,r,_,_,_,_,_,_,_",garis
"g,a,r,i,_,_,_,_,_,_",garis
"g,a,r,i,s,_,_,_,_,_",garis
"h,_,_,_,_,_,_,_,_,_",hati
"h,a,_,_,_,_,_,_,_,_",hati
"h,a,t,_,_,_,_,_,_,_",hati
"h,a,t,i,_,_,_,_,_,_",hati
"h,_,_,_,_,_,_,_,_,_",hari
"h,a,_,_,_,_,_,_,_,_",hari
"h,a,r,_,_,_,_,_,_,_",hari
"h,a,r,i,_,_,_,_,_,_",hari
"h,_,_,_,_,_,_,_,_,_",hidup
"h,i,_,_,_,_,_,_,_,_",hidup
"h,i,d,_,_,_,_,_,_,_",hidup
"h,i,d,u,_,_,_,_,_,_",hidup
"h,i,d,u,p,_,_,_,_,_",hidup
"h,_,_,_,_,_,_,_,_,_",harus
"h,a,_,_,_,_,_,_,_,_",harus
"h,a,r,_,_,_,_,_,_,_",harus
"h,a,r,u,_,_,_,_,_,_",harus
"h,a,r,u,s,_,_,_,_,_",harus
"h,_,_,_,_,_,_,_,_,_",harapan
"h,a,_,_,_,_,_,_,_,_",harapan
"h,a,r,_,_,_,_,_,_,_",harapan
"h,a,r,a,_,_,_,_,_,_",harapan
"h,a,r,a,p,_,_,_,_,_",harapan
"h,a,r,a,p,a,_,_,_,_",harapan
"h,a,r,a,p,a,n,_,_,_",harapan
"h,_,_,_,_,_,_,_,_,_",hijau
"h,i,_,_,_,_,_,_,_,_",hijau
"h,i,j,_,_,_,_,_,_,_",hijau
"h,i,j,a,_,_,_,_,_,_",hijau
"h,i,j,a,u,_,_,_,_,_",hijau
"h,_,_,_,_,_,_,_,_,_",hujan
"h,u,_,_,_,_,_,_,_,_",hujan
"h,u,j,_,_,_,_,_,_,_",hujan
"h,u,j,a,_,_,_,_,_,_",hujan
"h,u,j,a,n,_,_,_,_,_",hujan
"h,_,_,_,_,_,_,_,_,_",hebat
"h,e,_,_,_,_,_,_,_,_",hebat
"h,e,b,_,_,_,_,_,_,_",hebat
"h,e,b,a,_,_,_,_,_,_",hebat
"h,e,b,a,t,_,_,_,_,_",hebat
"h,_,_,_,_,_,_,_,_,_",hormat
"h,o,_,_,_,_,_,_,_,_",hormat
"h,o,r,_,_,_,_,_,_,_",hormat
"h,o,r,m,_,_,_,_,_,_",hormat
"h,o,r,m,a,_,_,_,_,_",hormat
"h,o,r,m,a,t,_,_,_,_",hormat
"h,_,_,_,_,_,_,_,_,_",hewan
"h,e,_,_,_,_,_,_,_,_",hewan
"h,e,w,_,_,_,_,_,_,_",hewan
"h,e,w,a,_,_,_,_,_,_",hewan
"h,e,w,a,n,_,_,_,_,_",hewan
"i,_,_,_,_,_,_,_,_,_",ini
"i,n,_,_,_,_,_,_,_,_",ini
"i,n,i,_,_,_,_,_,_,_",ini
"i,_,_,_,_,_,_,_,_,_",itu
"i,t,_,_,_,_,_,_,_,_",itu
"i,t,u,_,_,_,_,_,_,_",itu
"i,_,_,_,_,_,_,_,_,_",ibu
"i,b,_,_,_,_,_,_,_,_",ibu
"i,b,u,_,_,_,_,_,_,_",ibu
"i,_,_,_,_,_,_,_,_,_",indah
"i,n,_,_,_,_,_,_,_,_",indah
"i,n,d,_,_,_,_,_,_,_",indah
"i,n,d,a,_,_,_,_,_,_",indah
"i,n,d,a,h,_,_,_,_,_",indah
"i,_,_,_,_,_,_,_,_,_",indonesia
"i,n,_,_,_,_,_,_,_,_",indonesia
"i,n,d,_,_,_,_,_,_,_",indonesia
"i,n,d,o,_,_,_,_,_,_",indonesia
"i,n,d,o,n,_,_,_,_,_",indonesia
"i,n,d,o,n,e,_,_,_,_",indonesia
"i,n,d,o,n,e,s,_,_,_",indonesia
"i,n,d,o,n,e,s,i,_,_",indonesia
"i,n,d,o,n,e,s,i,a,_",indonesia
"i,_,_,_,_,_,_,_,_,_",ingin
"i,n,_,_,_,_,_,_,_,_",ingin
"i,n,g,_,_,_,_,_,_,_",ingin
"i,n,g,i,_,_,_,_,_,_",ingin
"i,n,g,i,n,_,_,_,_,_",ingin
"i,_,_,_,_,_,_,_,_,_",istri
"i,s,_,_,_,_,_,_,_,_",istri
"i,s,t,_,_,_,_,_,_,_",istri
"i,s,t,r,_,_,_,_,_,_",istri
"i,s,t,r,i,_,_,_,_,_",istri
"i,_,_,_,_,_,_,_,_,_",ikan
"i,k,_,_,_,_,_,_,_,_",ikan
"i,k,a,_,_,_,_,_,_,_",ikan
"i,k,a,n,_,_,_,_,_,_",ikan
"i,_,_,_,_,_,_,_,_,_",ilmu
"i,l,_,_,_,_,_,_,_,_",ilmu
"i,l,m,_,_,_,_,_,_,_",ilmu
"i,l,m,u,_,_,_,_,_,_",ilmu
"i,_,_,_,_,_,_,_,_,_",impian
"i,m,_,_,_,_,_,_,_,_",impian
"i,m,p,_,_,_,_,_,_,_",impian
"i,m,p,i,_,_,_,_,_,_",impian
"i,m,p,i,a,_,_,_,_,_",impian
"i,m,p,i,a,n,_,_,_,_",impian
"j,_,_,_,_,_,_,_,_,_",jangan
"j,a,_,_,_,_,_,_,_,_",jangan
"j,a,n,_,_,_,_,_,_,_",jangan
"j,a,n,g,_,_,_,_,_,_",jangan
"j,a,n,g,a,_,_,_,_,_",jangan
"j,a,n,g,a,n,_,_,_,_",jangan
"j,_,_,_,_,_,_,_,_,_",jalan
"j,a,_,_,_,_,_,_,_,_",jalan
"j,a,l,_,_,_,_,_,_,_",jalan
"j,a,l,a,_,_,_,_,_,_",jalan
"j,a,l,a,n,_,_,_,_,_",jalan
"j,_,_,_,_,_,_,_,_,_",jauh
"j,a,_,_,_,_,_,_,_,_",jauh
"j,a,u,_,_,_,_,_,_,_",jauh
"j,a,u,h,_,_,_,_,_,_",jauh
"j,_,_,_,_,_,_,_,_,_",juga
"j,u,_,_,_,_,_,_,_,_",juga
"j,u,g,_,_,_,_,_,_,_",juga
"j,u,g,a,_,_,_,_,_,_",juga
"j,_,_,_,_,_,_,_,_,_",jadi
"j,a,_,_,_,_,_,_,_,_",jadi
"j,a,d,_,_,_,_,_,_,_",jadi
"j,a,d,i,_,_,_,_,_,_",jadi
"j,_,_,_,_,_,_,_,_,_",jam
"j,a,_,_,_,_,_,_,_,_",jam
"j,a,m,_,_,_,_,_,_,_",jam
"j,_,_,_,_,_,_,_,_,_",jantung
"j,a,_,_,_,_,_,_,_,_",jantung
"j,a,n,_,_,_,_,_,_,_",jantung
"j,a,n,t,_,_,_,_,_,_",jantung
"j,a,n,t,u,_,_,_,_,_",jantung
"j,a,n,t,u,n,_,_,_,_",jantung
"j,a,n,t,u,n,g,_,_,_",jantung
"j,_,_,_,_,_,_,_,_,_",jeruk
"j,e,_,_,_,_,_,_,_,_",jeruk
"j,e,r,_,_,_,_,_,_,_",jeruk
"j,e,r,u,_,_,_,_,_,_",jeruk
"j,e,r,u,k,_,_,_,_,_",jeruk
"j,_,_,_,_,_,_,_,_,_",jiwa
"j,i,_,_,_,_,_,_,_,_",jiwa
"j,i,w,_,_,_,_,_,_,_",jiwa
"j,i,w,a,_,_,_,_,_,_",jiwa
"j,_,_,_,_,_,_,_,_,_",jendela
"j,e,_,_,_,_,_,_,_,_",jendela
"j,e,n,_,_,_,_,_,_,_",jendela
"j,e,n,d,_,_,_,_,_,_",jendela
"j,e,n,d,e,_,_,_,_,_",jendela
"j,e,n,d,e,l,_,_,_,_",jendela
"j,e,n,d,e,l,a,_,_,_",jendela
"k,_,_,_,_,_,_,_,_,_",kamu
"k,a,_,_,_,_,_,_,_,_",kamu
"k,a,m,_,_,_,_,_,_,_",kamu
"k,a,m,u,_,_,_,_,_,_",kamu
"k,_,_,_,_,_,_,_,_,_",kita
"k,i,_,_,_,_,_,_,_,_",kita
"k,i,t,_,_,_,_,_,_,_",kita
"k,i,t,a,_,_,_,_,_,_",kita
"k,_,_,_,_,_,_,_,_,_",kasih
"k,a,_,_,_,_,_,_,_,_",kasih
"k,a,s,_,_,_,_,_,_,_",kasih
"k,a,s,i,_,_,_,_,_,_",kasih
"k,a,s,i,h,_,_,_,_,_",kasih
"k,_,_,_,_,_,_,_,_,_",kata
"k,a,_,_,_,_,_,_,_,_",kata
"k,a,t,_,_,_,_,_,_,_",kata
"k,a,t,a,_,_,_,_,_,_",kata
"k,_,_,_,_,_,_,_,_,_",karena
"k,a,_,_,_,_,_,_,_,_",karena
"k,a,r,_,_,_,_,_,_,_",karena
"k,a,r,e,_,_,_,_,_,_",karena
"k,a,r,e,n,_,_,_,_,_",karena
"k,a,r,e,n,a,_,_,_,_",karena
"k,_,_,_,_,_,_,_,_,_",kucing
"k,u,_,_,_,_,_,_,_,_",kucing
"k,u,c,_,_,_,_,_,_,_",kucing
"k,u,c,i,_,_,_,_,_,_",kucing
"k,u,c,i,n,_,_,_,_,_",kucing
"k,u,c,i,n,g,_,_,_,_",kucing
"k,_,_,_,_,_,_,_,_,_",kecil
"k,e,_,_,_,_,_,_,_,_",kecil
"k,e,c,_,_,_,_,_,_,_",kecil
"k,e,c,i,_,_,_,_,_,_",kecil
"k,e,c,i,l,_,_,_,_,_",kecil
"k,_,_,_,_,_,_,_,_,_",keras
"k,e,_,_,_,_,_,_,_,_",keras
"k,e,r,_,_,_,_,_,_,_",keras
"k,e,r,a,_,_,_,_,_,_",keras
"k,e,r,a,s,_,_,_,_,_",keras
"k,_,_,_,_,_,_,_,_,_",kawan
"k,a,_,_,_,_,_,_,_,_",kawan
"k,a,w,_,_,_,_,_,_,_",kawan
"k,a,w,a,_,_,_,_,_,_",kawan
"k,a,w,a,n,_,_,_,_,_",kawan
"k,_,_,_,_,_,_,_,_,_",kepala
"k,e,_,_,_,_,_,_,_,_",kepala
"k,e,p,_,_,_,_,_,_,_",kepala
"k,e,p,a,_,_,_,_,_,_",kepala
"k,e,p,a,l,_,_,_,_,_",kepala
"k,e,p,a,l,a,_,_,_,_",kepala
"l,_,_,_,_,_,_,_,_,_",laut
"l,a,_,_,_,_,_,_,_,_",laut
"l,a,u,_,_,_,_,_,_,_",laut
"l,a,u,t,_,_,_,_,_,_",laut
"l,_,_,_,_,_,_,_,_,_",langit
"l,a,_,_,_,_,_,_,_,_",langit
"l,a,n,_,_,_,_,_,_,_",langit
"l,a,n,g,_,_,_,_,_,_",langit
"l,a,n,g,i,_,_,_,_,_",langit
"l,a,n,g,i,t,_,_,_,_",langit
"l,_,_,_,_,_,_,_,_,_",lihat
"l,i,_,_,_,_,_,_,_,_",lihat
"l,i,h,_,_,_,_,_,_,_",lihat
